Data Consegna,Cluster,Zona Consegna,Veicolo,Numero Clienti,Distanza Stimata (km),Percorso Ottimo,Tempo Totale Stimato (min),Tempo Guida Stimato (min)
2025-06-01,1_0,Zona B1,V2025-06-01_C1_0_N1,5,21.32,"[406440, 401061, 587730, 587971, 585779]",82,32
2025-06-02,1_0,Zona B1,V2025-06-02_C1_0_N1,8,48.17,"[405804, 12693, 588565, 401615, 406237, 588691, 11824, 15565]",152,72
2025-06-06,1_3,Zona B4,V2025-06-06_C1_3_N1,8,118.08,"[586046, 583347, 581261, 581912, 582004, 581985, 402898, 577169]",257,177
2025-06-06,1_3,Zona B4,V2025-06-06_C1_3_N2,3,60.95,"[587465, 586729, 586610]",121,91
2025-06-07,1_0,Zona B1,V2025-06-07_C1_0_N1,7,47.36,"[588072, 12692, 575734, 587084, 405499, 15745, 575690]",141,71
2025-06-08,1_0,Zona B1,V2025-06-08_C1_0_N1,3,11.05,"[587355, 405423, 406515]",47,17
2025-06-09,1_0,Zona B1,V2025-06-09_C1_0_N1,6,25.02,"[584558, 400877, 15743, 405782, 580350, 584393]",98,38
2025-06-10,1_0,Zona B1,V2025-06-10_C1_0_N1,7,61.45,"[400672, 401045, 401698, 580791, 402498, 577726, 10552]",162,92
2025-06-13,1_1,Zona B2,V2025-06-13_C1_1_N1,8,84.41,"[17293, 16185, 404272, 401236, 404269, 580349, 587723, 553714]",207,127
2025-06-13,1_1,Zona B2,V2025-06-13_C1_1_N2,3,83.05,"[587267, 588597, 581886]",155,125
2025-06-14,1_0,Zona B1,V2025-06-14_C1_0_N1,7,30.84,"[404276, 584059, 579970, 405082, 406085, 588661, 588691]",116,46
2025-06-16,1_0,Zona B1,V2025-06-16_C1_0_N1,5,15.14,"[584853, 401829, 401772, 16182, 405596]",73,23
2025-06-18,1_0,Zona B1,V2025-06-18_C1_0_N1,3,22.72,"[577865, 584577, 587403]",64,34
2025-06-19,1_0,Zona B1,V2025-06-19_C1_0_N1,7,36.35,"[585403, 585017, 587452, 406239, 406433, 604065, 584786]",125,55
2025-06-20,2,Zona C,V2025-06-20_C2_N1,9,124.74,"[14240, 17010, 403069, 582058, 586515, 401342, 585158, 403181, 400911]",277,187
2025-06-20,1_0,Zona B1,V2025-06-20_C1_0_N1,3,42.36,"[401074, 585477, 575771]",94,64
2025-06-21,1_0,Zona B1,V2025-06-21_C1_0_N1,7,50.91,"[405451, 401515, 585340, 587296, 588234, 403767, 587941]",146,76
2025-06-24,1_0,Zona B1,V2025-06-24_C1_0_N1,4,25.08,"[587868, 404411, 581844, 588691]",78,38
2025-06-25,1_0,Zona B1,V2025-06-25_C1_0_N1,3,20.43,"[580342, 17195, 580791]",61,31
2025-06-27,1_0,Zona B1,V2025-06-27_C1_0_N1,5,15.37,"[15587, 579909, 585166, 405723, 404870]",73,23
2025-06-30,0_1,Zona A2,V2025-06-30_C0_1_N1,8,136.43,"[402919, 585206, 402008, 402249, 405404, 402832, 404068, 401370]",285,205
2025-06-30,0_1,Zona A2,V2025-06-30_C0_1_N2,7,150.55,"[580938, 576568, 587909, 404593, 588755, 588494, 584169]",296,226
2025-06-30,1_0,Zona B1,V2025-06-30_C1_0_N1,6,34.84,"[400323, 17758, 406249, 400498, 403937, 17792]",112,52
2025-06-30,1_3,Zona B4,V2025-06-30_C1_3_N1,8,88.49,"[583346, 401893, 576943, 581912, 400214, 586729, 405359, 405531]",213,133
2025-06-30,1_3,Zona B4,V2025-06-30_C1_3_N2,3,39.43,"[588525, 582004, 581985]",89,59
2025-06-30,2,Zona C,V2025-06-30_C2_N1,8,122.44,"[405926, 587436, 401964, 405475, 405069, 576628, 582471, 400911]",264,184
2025-06-30,2,Zona C,V2025-06-30_C2_N2,4,94.13,"[584043, 604199, 584160, 581987]",181,141
2025-07-01,1_0,Zona B1,V2025-07-01_C1_0_N1,3,32.57,"[404768, 585046, 588499]",79,49
2025-07-02,1_0,Zona B1,V2025-07-02_C1_0_N1,4,29.18,"[10552, 16100, 578037, 578750]",84,44
2025-07-03,1_0,Zona B1,V2025-07-03_C1_0_N1,3,21.14,"[17338, 584134, 586251]",62,32
2025-07-03,0_1,Zona A2,V2025-07-03_C0_1_N1,8,136.36,"[10871, 402984, 401985, 582188, 403192, 584503, 580233, 406484]",285,205
2025-07-04,0_0,Zona A1,V2025-07-04_C0_0_N1,8,102.28,"[558125, 557441, 557411, 557531, 557697, 557446, 558053, 557753]",233,153
2025-07-04,0_0,Zona A1,V2025-07-04_C0_0_N2,5,100.99,"[582954, 558165, 584687, 586576, 580041]",201,151
