Data Consegna,Numero Cluster Serviti,Numero Clienti,Distanza Totale Stimata (km),Percorso Ottimo (NN),Cluster Percorso
2025-06-01,1,5,21.32,"[406440, 401061, 587730, 587971, 585779]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2025-06-02,1,8,48.17,"[405804, 12693, 588565, 401615, 406237, 588691, 11824, 15565]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-06-06,1,11,121.4,"[587465, 577169, 583347, 581261, 581912, 582004, 581985, 586729, 586610, 402898, 586046]","['1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3']"
2025-06-07,1,7,47.36,"[588072, 12692, 575734, 587084, 405499, 15745, 575690]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-06-08,1,3,11.05,"[587355, 405423, 406515]","['1_0', '1_0', '1_0']"
2025-06-09,1,6,25.02,"[584558, 400877, 15743, 405782, 580350, 584393]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-06-10,1,7,61.45,"[400672, 401045, 401698, 580791, 402498, 577726, 10552]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-06-13,1,11,161.13,"[17293, 16185, 404272, 401236, 404269, 580349, 587723, 588597, 587267, 581886, 553714]","['1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1']"
2025-06-14,1,7,30.84,"[404276, 584059, 579970, 405082, 406085, 588661, 588691]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-06-16,1,5,15.14,"[584853, 401829, 401772, 16182, 405596]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2025-06-18,1,3,22.72,"[577865, 584577, 587403]","['1_0', '1_0', '1_0']"
2025-06-19,1,7,36.35,"[585403, 585017, 587452, 406239, 406433, 604065, 584786]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-06-20,2,12,167.1,"[401074, 585477, 575771, 14240, 17010, 403069, 582058, 586515, 401342, 585158, 403181, 400911]","['1_0', '1_0', '1_0', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
2025-06-21,1,7,50.91,"[405451, 401515, 585340, 587296, 588234, 403767, 587941]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-06-24,1,4,25.08,"[587868, 404411, 581844, 588691]","['1_0', '1_0', '1_0', '1_0']"
2025-06-25,1,3,20.43,"[580342, 17195, 580791]","['1_0', '1_0', '1_0']"
2025-06-27,1,5,15.37,"[15587, 579909, 585166, 405723, 404870]","['1_0', '1_0', '1_0', '1_0', '1_0']"
